match_id,season,date,team1,team2,winner,margin,venue,city
1386102,2023/24,2023/12/20,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,9 wickets,Perth Stadium,Perth
1386103,2023/24,2023/12/21,Melbourne Renegades,Brisbane Heat,Brisbane Heat,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1386104,2023/24,2023/12/22,Sydney Sixers,Adelaide Strikers,Sydney Sixers,1 runs,Sydney Cricket Ground,Sydney
1386105,2023/24,2023/12/23,Melbourne Stars,Sydney Thunder,Sydney Thunder,5 wickets,"Lavington Sports Oval, Albury",Albury
1386106,2023/24,2023/12/23,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,6 wickets,"Bellerive Oval, Hobart",Hobart
1386107,2023/24,2023/12/26,Sydney Sixers,Melbourne Stars,Melbourne Stars,4 wickets,Sydney Cricket Ground,Sydney
1386108,2023/24,2023/12/26,Perth Scorchers,Melbourne Renegades,Perth Scorchers,13 runs,Perth Stadium,Perth
1386109,2023/24,2023/12/27,Brisbane Heat,Sydney Thunder,Brisbane Heat,15 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1386110,2023/24,2023/12/28,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,7 wickets,"Bellerive Oval, Hobart",Hobart
1386111,2023/24,2023/12/29,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,4 wickets,"Docklands Stadium, Melbourne",Melbourne
1386112,2023/24,2023/12/30,Sydney Thunder,Sydney Sixers,,,Sydney Showground Stadium,Sydney
1386113,2023/24,2023/12/31,Adelaide Strikers,Melbourne Stars,Melbourne Stars,7 wickets,Adelaide Oval,Adelaide
1386114,2023/24,2024/01/01,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,7 wickets,"Bellerive Oval, Hobart",Hobart
1386116,2023/24,2024/01/02,Melbourne Renegades,Melbourne Stars,Melbourne Stars,8 wickets,Melbourne Cricket Ground,Melbourne
1386117,2023/24,2024/01/03,Sydney Sixers,Brisbane Heat,Brisbane Heat,3 runs,"International Sports Stadium, Coffs Harbour",Coffs Harbour
1386118,2023/24,2024/01/03,Perth Scorchers,Adelaide Strikers,Perth Scorchers,42 runs,Perth Stadium,Perth
1386119,2023/24,2024/01/04,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1386120,2023/24,2024/01/05,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,9 wickets,Adelaide Oval,Adelaide
1386121,2023/24,2024/01/06,Melbourne Stars,Sydney Sixers,Sydney Sixers,7 wickets,Melbourne Cricket Ground,Melbourne
1386122,2023/24,2024/01/07,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,1 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1386123,2023/24,2024/01/08,Sydney Thunder,Perth Scorchers,Perth Scorchers,7 wickets,Sydney Showground Stadium,Sydney
1386124,2023/24,2024/01/09,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,5 wickets,Adelaide Oval,Adelaide
1386125,2023/24,2024/01/10,Brisbane Heat,Perth Scorchers,Brisbane Heat,23 runs,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1386126,2023/24,2024/01/11,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,8 wickets,"Bellerive Oval, Hobart",Hobart
1386127,2023/24,2024/01/12,Sydney Sixers,Sydney Thunder,Sydney Sixers,19 runs,Sydney Cricket Ground,Sydney
