player,team,format,total_runs,balls_faced,matches,strike_rate
L Vincent,New Zealand,ODI,1089,1593,45,68.36
MJ Santner,New Zealand,Test,1085,2310,28,46.97
PSP Handscomb,Australia,Test,1079,2236,20,48.26
DJ Malan,England,Test,1074,2627,22,40.88
F Behardien,South Africa,ODI,1074,1114,49,96.41
SM Pollock,South Africa,Test,1072,1774,25,60.43
NL McCullum,New Zealand,ODI,1070,1247,62,85.81
RP Arnold,Sri Lanka,ODI,1068,1537,55,69.49
WW Hinds,West Indies,ODI,1066,1626,38,65.56
SM Pollock,South Africa,ODI,1066,1183,60,90.11
Aftab Ahmed,Bangladesh,ODI,1061,1451,55,73.12
Basil Hameed,United Arab Emirates,ODI,1051,1458,45,72.09
Nasir Hossain,Bangladesh,Test,1044,1922,19,54.32
FDM Karunaratne,Sri Lanka,ODI,1044,1363,38,76.6
DP Sibley,England,Test,1042,3052,22,34.14
SM Katich,Australia,ODI,1041,1517,31,68.62
MN Waller,Zimbabwe,ODI,1039,1383,51,75.13
AD Russell,West Indies,ODI,1034,805,47,128.45
JD Ryder,New Zealand,Test,1025,1872,15,54.75
JP Faulkner,Australia,ODI,1025,1018,51,100.69
PWH de Silva,Sri Lanka,ODI,1024,991,53,103.33
B Sharki,Nepal,ODI,1023,1555,36,65.79
JJ Smit,Namibia,ODI,1018,1407,49,72.35
Fawad Alam,Pakistan,Test,1011,2173,18,46.53
Milind Kumar,United States of America,ODI,1011,1010,20,100.1
ZE Green,Namibia,ODI,1007,1351,44,74.54
RL Chase,West Indies,ODI,1004,1303,48,77.05
Umar Akmal,Pakistan,Test,1003,1525,16,65.77
EJM Cowan,Australia,Test,1001,2428,18,41.23
KH Prajapati,Oman,ODI,996,1351,35,73.72
KA Edwards,West Indies,Test,986,2056,17,47.96
JN Loftie-Eaton,Namibia,ODI,986,1340,44,73.58
C Kieswetter,England,ODI,985,1130,38,87.17
RW Chakabva,Zimbabwe,Test,984,2512,20,39.17
Ahmed Shehzad,Pakistan,Test,982,1929,13,50.91
JN Frylinck,Namibia,ODI,978,1370,45,71.39
PD Salt,England,ODI,976,861,30,113.36
DS Smith,West Indies,ODI,973,1379,39,70.56
Fawad Alam,Pakistan,ODI,966,1321,35,73.13
C Campher,Ireland,ODI,963,1212,30,79.46
JN Malan,South Africa,ODI,958,1177,22,81.39
MG Bracewell,New Zealand,ODI,956,905,37,105.64
Pargat Singh,Canada,ODI,956,1271,26,75.22
CJA Amini,Papua New Guinea,ODI,952,1545,45,61.62
KR Mayers,West Indies,Test,949,1552,18,61.15
Ayan Khan,Oman,ODI,948,1294,35,73.26
Mahmudul Hasan Joy,Bangladesh,Test,947,2205,19,42.95
Shaiman Anwar,United Arab Emirates,ODI,947,1162,30,81.5
M Morkel,South Africa,Test,944,1862,71,50.7
BP Nash,West Indies,Test,941,2157,18,43.63
AU Rashid,England,ODI,941,1041,81,90.39
J Liyanage,Sri Lanka,ODI,940,1134,28,82.89
JM How,New Zealand,ODI,939,1449,33,64.8
G Singh,United States of America,ODI,938,1155,31,81.21
Imad Wasim,Pakistan,ODI,937,860,39,108.95
RAS Lakmal,Sri Lanka,Test,934,1940,68,48.14
KOA Powell,West Indies,ODI,934,1191,41,78.42
SR Taylor,United States of America,ODI,934,1202,34,77.7
RV Uthappa,India,ODI,934,1070,41,87.29
MG Johnson,Australia,ODI,934,1002,87,93.21
Z Khan,India,Test,930,1817,57,51.18
RR Hendricks,South Africa,ODI,930,1211,35,76.8
Habibul Bashar,Bangladesh,ODI,926,1671,49,55.42
Chirag Suri,United Arab Emirates,ODI,924,1472,36,62.77
T de Zorzi,South Africa,Test,919,1682,17,54.64
NT Broom,New Zealand,ODI,919,1168,37,78.68
Yasir Shah,Pakistan,Test,918,1951,46,47.05
WPUJC Vaas,Sri Lanka,Test,918,1929,25,47.59
R Powell,West Indies,ODI,915,1054,45,86.81
Habibul Bashar,Bangladesh,Test,914,1469,19,62.22
LS Livingstone,England,ODI,912,867,34,105.19
HE van der Dussen,South Africa,Test,905,2226,18,40.66
CP Rizwan,United Arab Emirates,ODI,901,1573,38,57.28
SJ Modani,United States of America,ODI,898,1460,33,61.51
RD Rickelton,South Africa,Test,897,1701,15,52.73
Junaid Siddique,Bangladesh,Test,897,2189,17,40.98
D Ganga,West Indies,Test,896,2264,18,39.58
Junaid Siddique,Bangladesh,ODI,896,1315,44,68.14
A Kumble,India,Test,893,2230,38,40.04
AT Nidamanuru,Netherlands,ODI,893,1003,37,89.03
Harbhajan Singh,India,ODI,893,1122,83,79.59
PG Fulton,New Zealand,Test,892,2302,21,38.75
Muhammad Usman,United Arab Emirates,ODI,888,1212,34,73.27
Ishan Kishan,India,ODI,886,890,23,99.55
Washington Sundar,India,Test,885,1934,16,45.76
W Barresi,Netherlands,ODI,882,1184,37,74.49
JWA Taylor,England,ODI,879,1105,25,79.55
