match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1466425,ODI,2024/25,2025/03/02,ICC Champions Trophy,12,India,New Zealand,India,44 runs,Dubai International Cricket Stadium,Dubai
1466426,ODI,2024/25,2025/03/04,ICC Champions Trophy,,Australia,India,India,4 wickets,Dubai International Cricket Stadium,Dubai
1466427,ODI,2024/25,2025/03/05,ICC Champions Trophy,,New Zealand,South Africa,New Zealand,50 runs,"Gaddafi Stadium, Lahore",Lahore
1466428,ODI,2024/25,2025/03/09,ICC Champions Trophy,,New Zealand,India,India,4 wickets,Dubai International Cricket Stadium,Dubai
1467701,ODI,2024/25,2025/02/14,Ireland tour of Zimbabwe,1,Zimbabwe,Ireland,Zimbabwe,49 runs,Harare Sports Club,Harare
1467702,ODI,2024/25,2025/02/16,Ireland tour of Zimbabwe,2,Zimbabwe,Ireland,Ireland,6 wickets,Harare Sports Club,Harare
1467703,ODI,2024/25,2025/02/18,Ireland tour of Zimbabwe,3,Ireland,Zimbabwe,Zimbabwe,9 wickets,Harare Sports Club,Harare
1468879,ODI,2024/25,2025/02/08,ICC Men's Cricket World Cup League 2,49,United States of America,Namibia,United States of America,114 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468880,ODI,2024/25,2025/02/10,ICC Men's Cricket World Cup League 2,50,Namibia,Oman,Namibia,23 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468881,ODI,2024/25,2025/02/12,ICC Men's Cricket World Cup League 2,51,United States of America,Oman,Oman,7 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468882,ODI,2024/25,2025/02/14,ICC Men's Cricket World Cup League 2,52,United States of America,Namibia,United States of America,70 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468883,ODI,2024/25,2025/02/16,ICC Men's Cricket World Cup League 2,53,Namibia,Oman,Oman,2 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1468884,ODI,2024/25,2025/02/18,ICC Men's Cricket World Cup League 2,54,United States of America,Oman,United States of America,57 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1469168,ODI,2024/25,2025/02/14,Australia tour of Sri Lanka,2,Sri Lanka,Australia,Sri Lanka,174 runs,"R Premadasa Stadium, Colombo",Colombo
1472511,ODI,2025,2025/05/21,West Indies tour of Ireland,1,Ireland,West Indies,Ireland,124 runs,"Castle Avenue, Dublin",Dublin
1472512,ODI,2025,2025/05/23,West Indies tour of Ireland,2,West Indies,Ireland,no result,,"Castle Avenue, Dublin",Dublin
1472513,ODI,2025,2025/05/25,West Indies tour of Ireland,3,West Indies,Ireland,West Indies,197 runs,"Castle Avenue, Dublin",Dublin
1472528,ODI,2025,2025/08/08,Pakistan tour of West Indies,1,West Indies,Pakistan,Pakistan,5 wickets,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba
1472529,ODI,2025,2025/08/10,Pakistan tour of West Indies,2,Pakistan,West Indies,West Indies,5 wickets,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba
1472530,ODI,2025,2025/08/12,Pakistan tour of West Indies,3,West Indies,Pakistan,West Indies,202 runs,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba
