match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1481535,ODI,2025,2025/05/16,ICC Men's Cricket World Cup League 2,66,Scotland,Netherlands,Scotland,145 runs,"Sportpark Maarschalkerweerd, Utrecht",Utrecht
1482564,ODI,2025,2025/05/17,ICC Men's Cricket World Cup League 2,67,United States of America,Canada,United States of America,169 runs,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
1482565,ODI,2025,2025/05/19,ICC Men's Cricket World Cup League 2,68,Oman,Canada,Oman,15 runs,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
1482566,ODI,2025,2025/05/21,ICC Men's Cricket World Cup League 2,69,Oman,United States of America,tie,,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
1482567,ODI,2025,2025/05/23,ICC Men's Cricket World Cup League 2,70,Canada,Oman,Oman,18 runs,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
1482568,ODI,2025,2025/05/25,ICC Men's Cricket World Cup League 2,71,United States of America,Canada,United States of America,88 runs,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
1482569,ODI,2025,2025/05/27,ICC Men's Cricket World Cup League 2,72,United States of America,Oman,United States of America,9 runs,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
1486772,ODI,2025,2025/06/02,ICC Men's Cricket World Cup League 2,73,Scotland,Nepal,Nepal,1 wickets,"Forthill, Dundee",Dundee
1486773,ODI,2025,2025/06/04,ICC Men's Cricket World Cup League 2,74,Netherlands,Nepal,Nepal,5 wickets,"Forthill, Dundee",Dundee
1486774,ODI,2025,2025/06/06,ICC Men's Cricket World Cup League 2,75,Scotland,Netherlands,Scotland,44 runs,"Forthill, Dundee",Dundee
1486775,ODI,2025,2025/06/08,ICC Men's Cricket World Cup League 2,76,Scotland,Nepal,Scotland,2 runs,"Forthill, Dundee",Dundee
1486776,ODI,2025,2025/06/10,ICC Men's Cricket World Cup League 2,77,Nepal,Netherlands,Nepal,16 runs,"Forthill, Dundee",Dundee
1486777,ODI,2025,2025/06/12,ICC Men's Cricket World Cup League 2,78,Scotland,Netherlands,Netherlands,4 wickets,"Forthill, Dundee",Dundee
1498181,ODI,2025,2025/08/27,ICC Men's Cricket World Cup League 2,79,Canada,Namibia,Namibia,5 wickets,"Maple Leaf North-West Ground, King City",King City
1498183,ODI,2025,2025/08/31,ICC Men's Cricket World Cup League 2,81,Canada,Scotland,Scotland,7 wickets,"Maple Leaf North-West Ground, King City",King City
1498184,ODI,2025,2025/09/02,ICC Men's Cricket World Cup League 2,82,Namibia,Canada,Namibia,24 runs,"Maple Leaf North-West Ground, King City",King City
1498185,ODI,2025,2025/09/04,ICC Men's Cricket World Cup League 2,83,Scotland,Namibia,Scotland,55 runs,"Maple Leaf North-West Ground, King City",King City
1507884,ODI,2025/26,2025/10/26,ICC Men's Cricket World Cup League 2,85,United States of America,Nepal,United States of America,106 runs,Dubai International Cricket Stadium,Dubai
1507885,ODI,2025/26,2025/10/28,ICC Men's Cricket World Cup League 2,86,United Arab Emirates,United States of America,United States of America,4 wickets,Dubai International Cricket Stadium,Dubai
1507886,ODI,2025/26,2025/10/30,ICC Men's Cricket World Cup League 2,87,Nepal,United Arab Emirates,United Arab Emirates,5 wickets,"ICC Academy, Dubai",Dubai
1507887,ODI,2025/26,2025/11/01,ICC Men's Cricket World Cup League 2,88,Nepal,United States of America,United States of America,4 wickets,"ICC Academy, Dubai",Dubai
1507888,ODI,2025/26,2025/11/03,ICC Men's Cricket World Cup League 2,89,United States of America,United Arab Emirates,United States of America,243 runs,Dubai International Cricket Stadium,Dubai
1507889,ODI,2025/26,2025/11/05,ICC Men's Cricket World Cup League 2,90,Nepal,United Arab Emirates,United Arab Emirates,4 wickets,"ICC Academy, Dubai",Dubai
1529140,ODI,2026,2026/04/04,ICC Men's Cricket World Cup League 2,92,Namibia,Oman,Oman,3 wickets,"Namibia Cricket Ground, Windhoek",Windhoek
1529141,ODI,2026,2026/04/06,ICC Men's Cricket World Cup League 2,93,Namibia,Scotland,no result,,"Namibia Cricket Ground, Windhoek",Windhoek
1529142,ODI,2026,2026/04/08,ICC Men's Cricket World Cup League 2,94,Oman,Scotland,Oman,12 runs,"Namibia Cricket Ground, Windhoek",Windhoek
1529143,ODI,2026,2026/04/10,ICC Men's Cricket World Cup League 2,95,Oman,Namibia,Namibia,1 wickets,"Namibia Cricket Ground, Windhoek",Windhoek
1529144,ODI,2026,2026/04/12,ICC Men's Cricket World Cup League 2,96,Namibia,Scotland,Scotland,7 wickets,"Namibia Cricket Ground, Windhoek",Windhoek
1531696,ODI,2026,2026/04/25,ICC Men's Cricket World Cup League 2,97,Nepal,United Arab Emirates,Nepal,37 runs,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1531697,ODI,2026,2026/04/27,ICC Men's Cricket World Cup League 2,98,United Arab Emirates,Oman,United Arab Emirates,25 runs,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1531698,ODI,2026,2026/04/29,ICC Men's Cricket World Cup League 2,99,Oman,Nepal,Oman,102 runs,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1531699,ODI,2026,2026/05/01,ICC Men's Cricket World Cup League 2,100,Nepal,United Arab Emirates,Nepal,6 runs,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
